"creation_index","name","producer","consumers","logical_role","shape","dtype","memory_type","io_classification","exposure","variant_membership"
"114","gradient_gamma1","tt_lnb1_dg","tt_g1_scale","LayerNorm1 gamma gradient","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"115","gradient_beta1","tt_lnb1_db","tt_b1_scale","LayerNorm1 beta gradient","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"116","s_dg1","tt_g1_scale","tt_g1_next","learning-rate-scaled gradient","16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"117","n_g1","tt_g1_next","","next parameter value","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"118","s_db1","tt_b1_scale","tt_b1_next","learning-rate-scaled gradient","16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"119","n_b1","tt_b1_next","","next parameter value","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"120","s_dwq","tt_wq_scale","tt_wq_next","learning-rate-scaled gradient","16x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"121","n_wq","tt_wq_next","","next parameter value","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"122","s_dwk","tt_wk_scale","tt_wk_next","learning-rate-scaled gradient","16x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"123","n_wk","tt_wk_next","","next parameter value","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"124","s_dwv","tt_wv_scale","tt_wv_next","learning-rate-scaled gradient","16x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"125","n_wv","tt_wv_next","","next parameter value","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"126","s_dwo","tt_wo_scale","tt_wo_next","learning-rate-scaled gradient","16x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"127","n_wo","tt_wo_next","","next parameter value","16x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"128","s_dg2","tt_g2_scale","tt_g2_next","learning-rate-scaled gradient","16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"129","n_g2","tt_g2_next","","next parameter value","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"130","s_db2","tt_b2_scale","tt_b2_next","learning-rate-scaled gradient","16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"131","n_b2","tt_b2_next","","next parameter value","16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"132","s_dw1","tt_w1_scale","tt_w1_next","learning-rate-scaled gradient","16x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"133","n_w1","tt_w1_next","","next parameter value","16x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"134","s_dw2","tt_w2_scale","tt_w2_next","learning-rate-scaled gradient","32x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"135","n_w2","tt_w2_next","","next parameter value","32x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"136","one_hot","source_tensor","lm_embedding;lm_dembedding","fixed token one-hot input","8x32","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"137","embedding","source_tensor","lm_embedding;lm_embedding_next","token embedding parameter","32x16","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"138","position","source_tensor","lm_position","static positional encoding","8x16","FLOAT32","STATIC","static_internal","STATIC (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"139","embedded_token","lm_embedding","lm_position","token embedding lookup","8x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"140","output_projection","source_tensor","lm_logits;lm_doutput;lm_output_projection_next","output projection parameter","16x32","FLOAT32","APP_WRITE","graph_input","APP_WRITE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"141","logits","lm_logits","lm_softmax","logits intermediate tensor","8x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"142","lm_probabilities","lm_softmax","lm_difference","lm probabilities intermediate tensor","8x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"143","lm_difference","lm_difference","lm_dlogits","lm difference intermediate tensor","8x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"144","dlogits","lm_dlogits","lm_doutput;lm_doutput_projection","backward intermediate gradient","8x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"145","output_projection_gradient","lm_doutput_projection","lm_output_projection_scale","output projection gradient","16x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","APP_READ when diagnostics; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"146","dinput_norm","tt_lnb1_dx","lm_dinput","LayerNorm1-derived input gradient","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","BACKWARD_REGIONS|LAYERNORM1 tap:APP_READ; otherwise NATIVE","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"147","embedding_input_gradient","lm_dinput","lm_dembedding","embedding-input gradient after residual addition","8x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ when diagnostics; STOP*:APP_READ","FULL|STOP_AFTER_DINPUT|STOP_AFTER_DEMBEDDING"
"148","token_embedding_gradient","lm_dembedding","lm_embedding_scale","token embedding gradient","32x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ when diagnostics; STOP_AFTER_DEMBEDDING:APP_READ; STOP_AFTER_DINPUT:NATIVE","FULL|STOP_AFTER_DEMBEDDING"
"149","s_dembedding","lm_embedding_scale","lm_embedding_next","learning-rate-scaled gradient","32x16","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"150","next_token_embedding","lm_embedding_next","","next parameter value","32x16","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
"151","s_doutput_projection","lm_output_projection_scale","lm_output_projection_next","learning-rate-scaled gradient","16x32","FLOAT32","NATIVE","internal","NATIVE (all variants)","FULL"
"152","next_output_projection","lm_output_projection_next","","next parameter value","16x32","FLOAT32","variant-dependent APP_READ/NATIVE","graph_output when exposed; internal otherwise","FULL:APP_READ; STOP*:NATIVE","FULL"
